,TransactionID,LoanAmount,ClosingDate,Quarter,Closed,RegionName,PurchasePrice,ARV,Beds,Bath,SqFt,RepairCreditLine,CashReserves,RepeatBorrower,YearsOfExperience,CompletedProperties,MarketHealthIndex,YoY,DaysOnMarket,MedianSalesPriceSqFt,MedianSalesPrice
55,3241S,55000,2012-04,2,1,33810,44000,128000,3,2,1400,0,35000,1,0,0,0.557065217,7.87965616,84.5,63.5004,108100
949,5936F,72000,2015-07,3,1,32927,80000,128000,3,2,1278,0,37000,0,10,20,3.383152174,13.84750219,81,84.9804,122900
233,8053W,77850,2013-05,2,1,32244,56500,129000,3,2,1580,30000,90000,1,0,0,0.543478261,8.799266728,90.5,55.7535,95400
241,2768M,65880,2013-05,2,1,32065,43200,129000,4,2,980,30000,90000,1,0,0,1.064311594,5.103969754,118,73.3216,142600
617,3076R,80925,2014-08,3,1,37207,69000,129000,4,1.5,1984,23000,90000,0,0,0,7.107487923,16.57801418,86,89.1624,111400
664,4615N,67239,2014-10,4,1,46226,68510,129000,3,2,3016,20000,5000,0,1,5,0.334390097,-2.643856921,144.5,147.6734,63100
814,0511C,92700,2015-04,2,1,32407,88000,129000,4,2,1600,15000,63000,0,15,5,8.594504831,7.206208426,139,156.3662,167800
894,0016N,77700,2015-06,2,1,37168,67000,129500,3,2,2113,20000,40000,0,10,0,7.962711353,7.354149548,115,166.8999,250000
273,1922E,61600,2013-06,2,1,32141,85000,129990,2,2,1197,0,300000,0,0,50,2.204861111,10.30844156,84,59.9719,110900
246,0824P,90000,2013-05,2,0,33756,67000,130000,3,1,912,0,110000,0,0,1,1.681008454,10.61371841,78,71.5081,125700
307,1877K,81900,2013-07,3,1,33948,65000,130000,3,2,3281,26000,40000,0,6,1,3.880585749,12.90322581,86.5,74.7131,120300
320,0316A,86250,2015-10,4,0,34758,77500,130000,3,2.5,1561,5475,50000,0,8,3,1.314915459,5.66318927,95.5,80.0203,141400
522,0025B,90000,2016-04,2,0,32137,75000,130000,3,3,1593,25000,100000,0,10,2,3.738677536,6.579608237,131,105.1099,210500
568,1746N,96200,2014-06,2,1,32206,0,130000,4,1,2140,0,5000,0,2,8,0.002264493,-5.894308943,92,,45500
569,1131M,100000,2014-06,2,0,33880,120000,130000,3,2,1224,6500,85000,0,5,2,1.813858696,4.04494382,110,57.4556,87600
630,6718B,78000,2014-09,3,1,32810,71900,130000,3,2.5,1453,19000,150000,0,5,100,0.839371981,7.327227311,82,83.0667,122200
757,0627T,78000,2015-02,1,1,33974,92500,130000,3,2,1577,0,130000,0,8,0,5.566878019,17.21311475,80.5,72.5333,112700
759,6427N,59400,2015-02,1,1,28303,46000,130000,4,2,1474,20000,160000,0,3,25,1.64477657,-0.937207123,135,69.7885,110000
821,0071B,83250,2015-04,2,1,32708,62500,130000,3,2,1134,30000,30000,0,1,6,4.716183575,7.114228457,86,118.518,232200
826,3219D,76500,2015-04,2,1,32277,60000,130000,3,2,1763,25000,45000,1,0,0,0.592542271,6.794564349,86,82.2862,131400
836,7722A,56700,2015-04,2,1,28314,52000,130000,4,2,1464,11000,115000,1,0,0,0.753321256,-0.375586854,125,74.0497,111000
844,8455S,85500,2015-04,2,0,32244,70000,130000,3,2,1325,25000,75000,1,0,0,0.543478261,8.799266728,90.5,72.3972,112900
935,3896T,92700,2015-07,3,1,31605,87000,130000,3,2,1678,16000,19900,0,0,1,4.528230676,1.112759644,144,84.9593,131900
959,0116W,71500,2015-08,3,1,32456,50000,130000,3,2,1154,29500,70000,0,2,0,1.622131643,4.26679745,111.5,131.3737,206600
1092,8219N,81000,2015-11,4,0,32244,65000,130000,3,2,1552,25000,40000,0,0,0,0.543478261,8.799266728,90.5,71.8622,120200
1147,6631A,105400,2016-01,1,0,28311,119900,131800,8,4,3250,0,35000,0,9,0,0.803894928,-1.409618574,139.5,,119300
1133,3845D,68400,2016-01,1,1,33713,53000,132000,2,1,904,18000,20000,0,12,8,2.352807971,12.93031066,69,128.3949,139300
371,0152C,94500,2013-09,3,0,34743,85000,134000,3,2,1563,20000,,0,0,1,2.712862319,7.79401531,84,85.0388,114600
495,1435M,87750,2014-04,2,1,34744,90000,135000,2,2,1116,12000,45000,1,0,0,3.614130435,5.791044776,102,87.0152,158400
504,8351K,63000,2014-04,2,1,32244,70000,135000,3,2,1432,0,60000,1,6,5,0.543478261,8.799266728,90.5,58.9035,104900
615,1151P,81000,2014-08,3,1,32223,81000,135000,3,2,1096,30000,100000,0,9,3,2.155042271,8.34539315,82.5,106.2434,213200
853,3209P,67500,2015-05,2,1,34287,68000,135000,3,2,1200,15000,34000,0,30,0,1.499849034,10.45296167,69,86.9029,118000
854,0410&,81600,2015-05,2,1,32724,63500,135000,4,4,1744,27200,76800,0,4,7,5.172101449,9.669992325,108,89.818,138800
870,7525A,75150,2015-05,2,1,46403,48500,135000,2,1.5,1843,35000,57000,0,19,50,5.434782609,0.950369588,118,,249300
905,8126F,61200,2015-06,2,1,32217,68000,135000,3,2,1365,0,42000,1,0,0,1.393417874,5.20694259,110.5,89.9814,161400
936,5200N,65000,2015-07,3,1,32207,39000,135000,3,1,1630,35000,60000,0,10,0,2.622282609,7.711651299,113,110.4949,126100
975,0725T,85000,2015-08,3,1,32807,78000,135000,3,2,1118,20000,25000,0,2,2,4.985658213,11.53169014,89,99.4504,125300
1016,1576T,91800,2015-09,3,1,33905,90000,135000,3,2,1262,12000,80000,0,2,,5.760869565,18.01886792,79,92.3164,259100
1123,0205S,94985,2015-11,4,0,28412,75539,135000,3,1,1444,30000,28500,0,0,0,4.710144928,5.987654321,111.5,109.8756,182900
878,0835P,53000,2015-05,2,1,33830,48968.38,136000,4,3,1944,10000,25000,0,5,0,0.35326087,1.170960187,109,77.611,86000
932,3704T,81100,2015-07,3,1,33567,90169,136000,3,2,1467,0,32000,0,0,1,2.179951691,6.102475533,118,,179100
979,0101S,94500,2015-08,3,1,34953,90000,136000,3,2,1232,15000,49000,0,1,0,4.881491546,21.09375,85,95.8054,160000
906,0237F,95400,2015-06,2,1,27591,106000,137000,3,1.5,1350,0,40000,0,1,0,5.392512077,5.073529412,90.5,98.4092,141400
468,3910W,84000,2014-01,1,0,32822,73674,138000,4,1.5,1435,20000,400000,0,7,1,2.507548309,10.53140097,86.5,76.7681,112500
818,42584,89700,2015-04,2,1,33714,75000,138000,2,1,1296,0,25000,0,12,0,3.784722222,13.15436242,95,50.1125,83400
1157,2218O,75000,2016-12,4,0,33952,57000,138000,2,2,1320,26500,65000,0,4,0,3.378623188,13.07531381,83,85.5505,117700
420,0522S,55000,2013-11,4,0,46304,40000,139000,4,2,2022,0,15000,0,4,6,1.105072464,-0.591016548,95,95.7191,193600
995,0917N,109710,2015-08,3,0,46403,49900,139000,3,2,2165,72000,750000,0,19,0,5.434782609,0.950369588,118,,254700
269,0931N,98000,2013-06,2,1,32084,10000,140000,3,2,1239,98000,,1,0,0,0.743508454,4.035874439,108,93.0123,145200
270,0941N,98000,2013-06,2,1,32084,0,140000,4,2,1224,98000,,1,0,0,0.743508454,4.035874439,108,93.0123,145200
313,6975O,72000,2013-07,3,0,32211,70000,140000,3,2,2980,10000,30000,0,7,6,1.999547101,10.03307608,94,57.688,81700
337,8647H,88200,2013-08,3,1,32244,68000,140000,3,2,1663,30000,60000,1,0,0,0.543478261,8.799266728,90.5,61.1943,96800
486,7014D,82200,2014-02,1,0,32207,65000,140000,3,2,1700,27000,45000,0,30,300,2.622282609,7.711651299,113,90.3379,120800
567,0767C,76500,2014-06,2,1,27501,75000,140000,3,3,1500,10000,30000,1,0,0,4.4165157,2.881236824,109,91.6758,143500
605,1132F,105000,2014-08,3,1,34614,92259,140000,4,3.5,3016,26000,47500,0,3,13,3.520531401,6.608280255,127,,119500
624,5160W,105000,2016-1,1,0,30038,130000,140000,4,3,2951,0,93000,0,15,15,1.618357488,10.70234114,148,63.4914,102900
647,1717N,57700,2014-09,3,1,33610,45100,140000,3,2,1449,25000,60000,1,9,,0.091334541,0.912646675,77,56.7851,71800
751,2442M,106800,2015-01,1,1,32935,103754,140000,3,2,1695,15000,150000,0,5,0,5.8227657,16.38361638,85.5,77.755,106000
770,0712L,103300,2015-02,1,1,32708,104799,140000,3,2,1272,10000,77000,0,4,8,4.716183575,7.114228457,86,112.6666,230200
800,26122,76000,2015-03,1,1,34205,84513,140000,3,2,1512,0,80000,0,1,0,1.386624396,12.99435028,72,85.5532,124700
813,7108A,92700,2015-04,2,1,32211,75000,140000,4,3,1810,28000,40000,1,6,30,1.999547101,10.03307608,94,62.5882,93100
817,7109W,91000,2015-04,2,1,34668,76000,140000,2,2,1442,25000,42000,0,24,0,1.490036232,6.849315068,89,52.8002,67100
820,0169S,99000,2015-04,2,1,34983,90000,140000,3,2,1356,20000,18000,0,2,3,5.338919082,24.62562396,77,86.775,130400
830,0315T,84000,2015-04,2,1,33705,65000,140000,4,2,1334,35000,25000,0,25,0,2.793629227,12.95652174,93.5,113.2667,116300
838,0710C,82800,2015-04,2,1,46254,77000,140000,3,2,1450,15000,50000,0,5,5,2.121074879,5.602536998,106.5,176.4049,104500
871,0001L,74000,2015-05,2,1,33837,58425,140000,4,2,2050,23000,25000,1,2,1,2.404891304,7.099799062,115,95.2723,156300
960,0551A,91900,2015-08,3,1,32714,82449,140000,4,1.5,1440,25000,80000,0,10,0,2.561141304,8.425720621,78,98.9634,186100
988,0750H,84000,2015-07,3,0,32763,0,140000,3,2,1736,0,70000,0,5,12,3.566576087,12.92372881,90,81.2696,102300
1038,3281P,105000,2015-10,4,1,29456,112000,140000,3,2.5,1400,6000,30000,0,3,1,1.081672705,5.259146341,92,93.083,137600
1114,2310E,81000,2015-12,4,1,46220,65000,140000,3,1,2184,25000,35000,1,10,15,6.430404589,4.04494382,111,186.5,184500
1120,0426C,75150,2015-12,4,0,23707,53500,140000,3,1,1275,30000,25000,0,2,1,1.336805556,1.816860465,131,,139100
291,8169C,104400,2013-07,3,0,32244,81000,142000,3,2,1724,35000,150000,1,0,0,0.543478261,8.799266728,90.5,58.3692,96400
765,2517S,91800,2015-02,1,1,33904,84000,142000,2,2,2123,18000,60000,0,6,0,4.496527778,8.421052632,80,115.3259,244300
316,1101S,86400,2013-07,3,0,34953,71000,145000,3,2,1707,25000,40000,0,5,0,4.881491546,21.09375,85,70.9895,119500
330,8783F,83700,2013-08,3,1,32822,85000,145000,3,2,1526,8000,50000,1,0,0,2.507548309,10.53140097,86.5,68.2015,104400
429,1203F,76500,2013-12,4,1,34950,40000,145000,5,3,2566,45000,45000,0,17,20,6.426630435,11.16322702,103,,251700
484,5115R,93300,2014-01,1,0,32808,78674,145000,3,2,1762,25000,30000,0,11,15,0.935235507,5.844155844,84,46.1235,72600
578,0328L,87000,2014-03,1,0,34743,103700,145000,3,2,1175,12000,40000,1,0,0,2.712862319,7.79401531,84,81.368,127300
742,1143M,100000,2015-01,1,1,32218,79719,145000,3,2,2780,30900,90000,0,2,3,0.343448068,3.592814371,118,73.6478,134600
772,3392T,83700,2015-02,1,1,34788,78000,145000,3,2,1543,15000,55000,0,5,4,0.6665157,2.504317789,94,64.2053,147200
831,0532F,101700,2015-04,2,1,34743,100000,145000,3,2,1309,13000,150000,0,2,3,2.712862319,7.79401531,84,90.7456,147000
923,2917L,86850,2014-12,4,0,32408,66500,145000,3,2,1195,30000,68000,0,8,7,2.52490942,3.457307491,124,145.6156,205000
1030,5456G,99000,2015-10,4,1,32073,75000,145000,3,2,1705,35000,25000,0,0,,0.21361715,3.977272727,91.5,86.6154,148600
1093,4433W,103500,2016-11,4,0,30034,115000,145000,4,3,2556,0,45000,0,12,0,2.663043478,7.68321513,88.5,58.3932,93300
1159,3810S,103410,2016-02,1,0,33563,94500,145000,3,2,1460,20000,30000,0,1,0,3.060839372,15.63169165,85,,113500
942,1265E,108000,2015-07,3,1,30331,75000,147000,4,3,1552,39000,40000,0,25,0,1.763285024,9.567617295,104.5,52.8793,123700
575,0747R,111000,2014-06,2,0,34743,124500,148000,2,2,1638,0,30000,0,6,3,2.712862319,7.79401531,84,89.6959,137700
236,1623S,82500,2013-05,2,1,34667,49126,148700,3,2,7501,47000,136000,1,2,4,0.403834541,5.995004163,103,66.3187,114300
901,89666,99000,2015-06,2,1,33782,69000,149000,3,2,1500,40000,200000,0,15,5,1.593448068,8.910891089,89.5,105.8646,134700
277,0106S,112000,2013-05,2,0,32714,0,149990,3,2,1466,0,300000,0,0,50,2.561141304,8.425720621,78,77.3005,159800
294,0677R,103500,2013-07,3,0,32073,84000,150000,4,2,1991,35000,30000,0,0,2,0.21361715,3.977272727,91.5,78.5846,125400
329,1344T,85800,2013-08,3,1,32824,103000,150000,4,3,2238,9000,75000,0,20,0,3.480525362,7.611853574,108,86.0999,146000
435,5138B,88650,2013-12,4,1,32217,83500,150000,3,2,1430,15000,45000,0,5,2,1.393417874,5.20694259,110.5,83.6908,161700
560,0027B,94500,2014-06,2,1,32137,65000,150000,3,2,1974,40000,,0,,,3.738677536,6.579608237,131,94.6162,190200
595,7708N,76500,2014-07,3,1,33604,50000,150000,3,1,1454,35000,40000,0,8,26,2.502264493,11.88318228,102,98.1181,98500
627,11016,100000,2014-09,3,1,33705,84000,150000,3,2,1756,34000,43000,0,20,0,2.793629227,12.95652174,93.5,,112000
640,5137P,73800,2014-09,3,1,32810,59000,150000,4,2,1933,27000,150000,1,5,100,0.839371981,7.327227311,82,83.0667,122200
657,2741N,77000,2014-10,4,1,33435,84944,150000,4,2,1514,9000,45000,0,5,15,1.904438406,9.544282029,122,118.4136,129800
736,1170W,78000,2015-01,1,1,34744,65000,150000,3,2,1216,42009,25000,0,2,1,3.614130435,5.791044776,102,91.0165,170800
750,0232B,112500,2015-01,1,1,33954,108000,150000,3,2,2200,22000,28000,0,4,0,3.469957729,10,112,,158100
762,0355W,97500,2015-02,1,1,32714,0,150000,3,3,1400,0,65000,0,1,1100,2.561141304,8.425720621,78,84.3936,183600
801,0514S,88380,2015-03,1,1,32073,75000,150000,3,2,1336,23200,50000,0,10,0,0.21361715,3.977272727,91.5,80.8524,145000
858,3102G,117900,2015-05,2,1,28105,131000,150000,3,2,1595,0,800000,0,0,0,6.139794686,5.655893536,74.5,103.1727,217000
911,6137T,94500,2015-06,2,1,32808,85000,150000,4,2,1883,20000,30000,0,6,4,0.935235507,5.844155844,84,54.5084,82100
929,3179E,75000,2015-07,3,1,30344,52000,150000,2,1.5,1426,12000,6000,0,45,0,1.542874396,3.623188406,106.5,77.9547,71600
980,4723M,81900,2015-08,3,1,33624,91000,150000,3,2,1308,0,285000,0,8,0,1.703653382,4.823331464,87,112.9031,207200
1158,2302S,89100,2016-02,1,1,76574,85000,150000,3,2,1350,15000,50000,0,7,7,8.631491546,8.52775543,70,191.0501,135000
469,3927B,74900,2014-02,1,0,77550,68224,152000,3,2,1636,15000,30000,0,5,0,4.397644928,3.32594235,149,173.6546,142500
779,6805S,90000,2015-02,1,0,33578,100000,153000,4,2.5,1480,0,20000,0,16,0,2.010869565,8.92494929,91,95.2727,175500
503,0804E,63000,2014-04,2,1,33604,43000,154500,2,2,1708,27000,610000,0,2,1,2.502264493,11.88318228,102,79.8275,97700
748,0154W,96750,2015-01,1,1,32773,72500,155000,3,2,1477,35000,80000,0,22,1100,4.554649758,10.59661621,101,78.3389,119000
752,3576O,109800,2015-01,1,1,32312,114000,155000,3,2,1452,8000,23000,0,10,0,3.497886473,3.897180763,118,115.5257,255200
788,5306R,98100,2015-03,1,1,33617,89000,155000,4,3,1800,20000,16000,0,3,3,7.118055556,19.65552178,104.5,73.2862,141800
857,0910N,98370,2015-05,2,1,46403,37000,155000,3,2,2800,72300,60000,0,19,52,5.434782609,0.950369588,118,,249300
880,0341B,100350,2015-05,2,1,37042,96500,155000,3,2,1376,15000,83988,0,20,5,3.620923913,1.850294365,113,168.8622,121000
1139,7952V,106100,2016-01,1,1,32211,79900,155000,3,2,1696,38000,70000,1,7,4,1.999547101,10.03307608,94,,102000
648,0615E,104100,2014-09,3,1,34744,98700,155900,4,2.5,2162,17000,20000,0,5,0,3.614130435,5.791044776,102,91.4621,167600
1044,63411,112410,2015-10,4,1,33710,99900,156000,3,1,1135,25000,30000,0,2,4,2.202596618,11.01754386,75,124.2187,163400
952,4228A,109500,2015-07,3,0,33543,77700,159000,3,2,1547,44000,50000,0,1,0,2.521890097,7.552526973,104,105.333,190400
1130,0023O,81420,2016-01,1,1,1604,70000,159000,3,2,1159,28000,30000,1,1,1,2.660778986,5.717552887,115,,194900
422,6910C,75000,2013-12,4,1,32208,,160000,4,3,2750,0,15000,0,5,4,1.668176329,9.523809524,107.5,526.1557,52400
434,3249B,100000,2013-12,4,1,34743,130000,160000,4,3,1839,5000,50000,0,3,15,2.712862319,7.79401531,84,87.7418,122700
481,3115B,107055,2014-02,1,1,34743,103950,160000,3,2,1600,15000,65000,0,9,250,2.712862319,7.79401531,84,81.1698,125500
677,1210E,47200,2014-11,4,1,33604,75000,160000,3,1,1100,0,27000,1,25,,2.502264493,11.88318228,102,82.4231,100700
866,0902L,112000,2015-05,2,1,46342,107625,160000,3,2,2242,20000,30000,0,0,1,5.434782609,0.950369588,118,,249300
873,7122P,90900,2015-05,2,1,32822,89000,160000,4,2,1712,12000,40000,0,2,0,2.507548309,10.53140097,86.5,94.2868,134500
891,0541J,102600,2015-06,2,1,33897,114000,160000,3,2,1230,0,50000,0,6,17,3.51977657,2.582159624,119.5,99.3619,180100
1021,4520G,103000,2015-09,3,1,30038,101000,162000,4,2.5,2208,12500,25000,0,1,0,1.618357488,10.70234114,148,50.6205,100900
889,7226H,123000,2015-06,2,1,32818,126000,164000,4,2,2309,11000,30000,1,0,0,3.688103865,10.7599699,97,85.9527,140900
249,11525,112500,2016-05,2,0,34219,125000,165000,3,2,1598,0,55000,0,1,1,1.723278986,6.491372227,89,,262100
301,0510P,123750,2013-07,3,1,33896,160000,165000,5,0.5,2224,0,50000,0,0,1,1.339824879,3.13225058,104,95.1301,170200
342,0605R,117085,2013-08,3,1,78602,120095.73,165000,,2.5,2618,10000,32000,0,10,31,7.937047101,10.91387245,70,145.5434,144000
441,0417S,101100,2013-12,4,0,27712,96000,165000,3,2,2080,30000,75000,0,6,3,7.349788647,3.404255319,99.5,100.9229,183500
734,3865W,111000,2014-12,4,0,34744,113400,165000,3,2,1596,10000,35000,0,8,7,3.614130435,5.791044776,102,89.8119,169600
869,2728A,108000,2015-05,2,1,75211,80000,165000,3,1,1197,40000,40000,0,5,10,9.732035024,15.11363636,75,93.233,93000
1001,7840C,96542,2015-09,3,1,32244,69269,165000,3,2,1676,38000,80000,1,3,5,0.543478261,8.799266728,90.5,79.0136,119400
1004,1806W,83250,2015-09,3,1,32703,87500,165000,3,2,1594,5000,70000,0,11,15,1.492300725,6.706408346,90,94.9313,147300
1059,0713W,114000,2015-10,4,1,34759,121000,165000,4,3,2268,10000,40000,1,2,3,2.250905797,5.405405405,113.5,87.1665,133200
305,0865B,80000,2013-07,3,1,33897,0,166000,4,2,2236,0,266000,0,13,40,3.51977657,2.582159624,119.5,88.2413,161100
529,7831B,126000,2014-05,2,1,32835,142000,168000,3,2,1513,0,32000,0,4,7,4.011171498,8.550434202,113,94.8433,206200
806,0817S,126000,2015-03,1,0,33991,110000,168000,4,2,1711,31000,200000,0,5,0,7.235054348,12.89124668,113,108.1768,201000
1078,4326R,102400,2015-11,4,1,31605,81809,168000,4,2.5,2827,32000,40000,0,12,,4.528230676,1.112759644,144,79.2092,134900
708,0127E,101000,2014-12,4,1,33897,112000,169000,3,2,1361,0,95000,0,6,0,3.51977657,2.582159624,119.5,96.4853,177500
278,0848W,119000,2013-05,2,0,32712,195000,169990,4,2,1907,0,300000,0,0,50,1.326992754,5.098039216,91,75.8663,182600
343,2350W,99900,2013-08,3,0,32758,101000,170000,3,2,1835,10000,55000,0,20,40,7.962711353,7.354149548,115,145.5434,244400
408,4752F,102825,2013-11,4,1,32807,89500,170000,3,2,1284,33000,65000,1,0,0,4.985658213,11.53169014,89,72.5286,99900
448,1898A,100000,2014-01,1,1,33948,101000,170000,3,2,1439,0,76000,0,5,51,3.880585749,12.90322581,86.5,78.6641,130800
455,1831S,98100,2014-01,1,1,34638,94000,170000,4,2,2100,15000,,0,,,1.021286232,5.242334322,104,101.9452,185500
558,1146S,125100,2014-06,2,1,32225,109000,170000,3,2,1675,30000,51000,1,0,0,0.554045894,5.757406372,90,99.7017,181800
579,0511T,118800,2014-07,3,1,47429,90125,170000,4,2,2268,42000,685000,0,25,100,5.346467391,1.317957166,,165.9313,120600
636,5211C,110500,2014-09,3,1,33712,95000,170000,3,2,1464,40000,200000,1,10,30,2.512077295,12.60869565,76,,78700
733,4585F,107400,2014-12,4,0,77706,69365,170000,3,2,2032,50000,33000,0,0,0,4.445199275,3.600293902,98,150.9454,149900
823,0862K,102000,2015-04,2,1,46383,18000,170000,3,2,1700,0,15000,0,5,11,2.259208937,2.544378698,86,95.9093,171600
825,9110P,125100,2015-04,2,1,32244,133000,170000,3,2,2231,6000,20000,0,1,0,0.543478261,8.799266728,90.5,72.3972,112900
833,1141M,115400,2015-04,2,1,33844,128310,170000,4,3,1644,0,85000,0,6,0,0.116243961,4.128053917,161,75.7916,132700
875,0211S,104310,2015-05,2,1,34953,115900,170000,4,2,1853,0,27000,0,6,4,4.881491546,21.09375,85,88.0038,152900
1063,3707M,117000,2015-10,4,0,33810,115500,170000,4,2,1824,15000,100000,0,2,0,0.557065217,7.87965616,84.5,94.2888,152600
303,1602E,117000,2013-07,3,1,33624,105000,174000,3,2,1563,25000,15000,1,0,0,1.703653382,4.823331464,87,100.4578,172800
784,0070O,99000,2015-03,1,1,33936,110000,174000,3,3,2325,0,80000,0,8,0,5.080766908,20.43984476,71,57.353,81500
399,0023B,82200,2013-11,4,1,32796,68500,175000,8,4,3588,25000,60000,0,8,70,5.150966184,13.33333333,99,58.475,76300
478,1704C,90900,2014-02,1,1,27536,86000,175000,4,3,2408,15000,50000,0,1,1,7.962711353,7.354149548,115,173.6546,254500
499,2200G,126000,2014-04,2,1,33204,54000,175000,4,3,1933,85000,100000,0,10,2,7.962711353,7.354149548,115,172.1781,258100
561,2144S,122400,2014-06,2,1,34746,126000,175000,4,2,1936,10000,94000,1,9,300,1.608544686,3.934233705,112,95.1395,176700
607,4126S,86700,2014-08,3,1,32217,96439,175000,3,2,1848,0,48000,0,6,3,1.393417874,5.20694259,110.5,92.7637,161000
609,4304C,99600,2014-08,3,1,34746,110775,175000,4,2,1680,0,50000,1,0,0,1.608544686,3.934233705,112,94.6756,177500
663,6105R,104850,2014-10,4,1,32216,81500,175000,4,2,1788,35000,27500,0,6,4,1.062047101,8.902333621,80,80.8743,121200
690,0504N,105600,2014-11,4,1,33426,117339,175000,4,1,1271,0,41000,1,5,15,1.94067029,11.64135936,81,105.5006,146900
710,1411M,118000,2014-11,4,1,28105,109500,175000,4,2.5,1833,20000,800000,0,10,3,6.139794686,5.655893536,74.5,98.0404,214300
722,4546N,91350,2014-12,4,1,32206,88000,175000,2,1,975,13500,19900,0,0,1,0.002264493,-5.894308943,92,,49400
829,0161S,108450,2015-04,2,1,34748,85500,175000,5,3,2000,35000,106000,0,12,1,1.01147343,2.930127724,101,80.9751,143900
843,1842S,119700,2015-04,2,0,33549,123000,175000,3,2,1950,10000,30000,0,0,3,4.32593599,6.08040201,91,104.4682,206900
982,0718G,117360,2015-08,3,1,32216,85000,175000,3,2,1684,45400,45000,1,6,29,1.062047101,8.902333621,80,86.8381,129400
1075,0941E,109800,2015-11,4,1,46205,62000,175000,3,2,1625,60000,110000,1,3,7,6.358695652,5.344202899,109.5,184.0222,116600
1079,6186E,117000,2015-11,4,1,46220,105000,175000,2,2,1668,25000,37000,0,10,15,6.430404589,4.04494382,111,184.0222,185700
389,1465F,90000,2013-10,4,1,32258,0,178000,4,2,1713,0,50000,0,5,2,0.95410628,5.260521042,87,93.3571,195600
582,2396S,120600,2014-07,3,1,34746,124000,178000,3,2,1885,10000,85000,1,0,0,1.608544686,3.934233705,112,96.9147,177100
632,1826S,90000,2014-09,3,1,34983,115500,178000,3,2,1510,16500,60000,0,6,0,5.338919082,24.62562396,77,79.2065,115600
738,2348S,128500,2015-01,1,1,33544,142799,179000,3,2.5,1871,0,37000,0,16,0,2.176932367,6.669733211,123,102.4628,217300
849,1055N,113103,2015-04,2,0,32606,95000,179000,3,2,1518,30670,31000,0,20,100,3.46240942,3.951890034,111,98.6662,184900
184,1116P,116000,2013-03,1,0,34744,145000,180000,4,3,2466,500,35000,0,,,3.614130435,5.791044776,102,67.7134,127300
516,4713P,117000,2014-03,1,0,34746,120000,180000,4,2,1800,10000,45000,0,10,110,1.608544686,3.934233705,112,89.0786,171800
771,1302B,113600,2015-02,1,1,33534,111300,180000,4,3,1808,15000,50000,0,2,0,0.388737923,8.316151203,86,,149700
777,3191S,128250,2015-02,1,1,46163,132500,180000,3,2,1768,10000,35000,0,1,0,9.445954106,5.642458101,110,158.7911,179300
903,0911M,60000,2015-06,2,1,33756,101000,180000,3,1.5,1297,0,17000,0,15,0,1.681008454,10.61371841,78,107.5293,153700
934,2649N,117000,2015-07,3,1,33064,120000,180000,2,1,958,10000,34952,0,0,0,2.084842995,10.63174114,97,129.5555,153900
1031,1541S,116101,2015-10,4,1,32234,129502,180000,5,3,2180,0,50000,0,2,2,0.327596618,-1.540719002,92,176.4671,136800
895,61783,108000,2015-06,2,1,33710,100000,184000,3,2,1350,20000,35000,0,0,1,2.202596618,11.01754386,75,126.4539,157100
325,3205R,120000,2013-08,3,1,32825,147000,185000,3,2,1760,10000,45000,0,2,3,2.181461353,6.772673734,84.5,93.6424,149500
327,15342,103950,2013-08,3,1,34205,75000,185000,4,2,2270,0,10000,0,20,80,1.386624396,12.99435028,72,74.6059,99000
476,9000F,131400,2014-02,1,1,32818,136000,185000,4,2,2155,10000,18000,1,0,0,3.688103865,10.7599699,97,72.021,119100
781,7353S,129200,2016-02,1,0,34655,103619,185000,3,2,1520,40000,50000,0,20,0,2.601147343,7.205240175,104.5,108.5885,209700
847,0227S,120250,2015-04,2,0,33009,2008,185000,4,2,1594,0,700,0,6,1,0.786533816,4.553215709,147,159.8565,179700
850,4129E,116100,2015-05,2,1,33916,97000,185000,3,2,1691,32000,55000,0,10,0,0.169082126,5.27638191,70.5,75.3248,64100
1132,1052B,120280,2016-01,1,1,32225,74550,185000,3,2,1736,59100,33000,1,7,32,0.554045894,5.757406372,90,104.3488,193400
999,3329S,130500,2015-09,3,1,33904,125000,187000,3,2,2107,20000,51000,0,2,0,4.496527778,8.421052632,80,117.7884,247500
593,1917L,58500,2014-07,3,1,32068,65500,188000,3,2,1644,0,350000,0,10,3,0.782004831,5.782312925,105,84.9149,142900
594,0202F,135000,2014-07,3,1,32750,125000,188000,3,2,1858,25000,35000,0,0,0,4.159873188,5.059847661,96.5,106.5479,187600
740,1911S,106200,2015-01,1,1,33594,118000,188000,4,2,1936,0,170000,0,13,0,1.862922705,7.311178248,86.5,88.5157,172100
797,1263H,118000,2015-03,1,1,33952,119000,188000,3,2,1980,28500,62000,0,4,0,3.378623188,13.07531381,83,71.274,107800
913,0069W,107500,2015-06,2,1,27516,107500,188000,3,1.5,1152,20000,60000,0,1,0,8.830012077,4.443701971,115.5,157.3334,309400
32,0438W,120000,2012-01,1,1,32259,120000,190000,3,2,1764,35000,150000,0,19,52,2.292421498,6.383750453,95,97.1228,234700
388,2119P,85000,2013-10,4,1,32246,0,190000,3,3,1782,0,50000,0,5,2,0.798611111,5.373134328,82,92.1712,138900
671,0431A,84150,2016-02,1,0,32211,0,190000,4,2,2800,18500,5000,0,6,5,1.999547101,10.03307608,94,,102000
